symbol	length	exp_syn	exp_alt
ARF5	180	379	1241
M6PR	277	563	1930
ESRRA	423	1001	2806
FKBP4	459	897	3234
CYP26B1	512	1122	3486
NDUFAF7	441	908	3061
FUCA2	467	918	3285
DBNDD1	158	359	1063
HS3ST1	307	637	2126
SEMA3F	785	1702	5363
CFTR	1480	2940	10380
CYP51A1	509	1030	3551
USP28	1077	2120	7573
STPG1	287	589	1994
NIPAL3	324	680	2236
TMEM176A	235	522	1593
SLC7A2	698	1496	4786
HSPB6	160	393	1047
ZNF195	606	1068	4386
PDK4	411	823	2876
CCL26	94	192	654
USH1C	899	1912	6179
RALA	206	380	1474
BCAP29	241	459	1710
BAIAP2L1	511	1034	3565
CACNG3	315	655	2180
TMEM132A	1024	2461	6755
DVL2	736	1628	4996
GGCT	114	210	816
RPAP3	665	1238	4747
IFRD1	451	895	3164
UPP2	317	636	2217
PRSS21	314	668	2158
HOXA11	313	668	2149
CX3CL1	397	896	2677
PRR5	379	864	2547
TRAPPC6A	173	382	1175
SPATA20	802	1722	5496
CEACAM7	265	558	1827
CD79B	229	460	1601
RHBDD2	364	860	2416
RPUSD1	312	706	2102
TSR3	312	704	2104
OSBPL7	842	1768	5810
ARHGAP33	748	1761	4971
NDUFAB1	156	323	1081
YBX2	364	879	2397
PDK2	343	693	2394
ITGA3	1066	2328	7266
KRT33A	404	845	2791
LRRC23	343	694	2393
IL32	168	330	1182
TFAP2D	452	963	3105
SPRTN	207	389	1474
CRY1	586	1168	4106
PGLYRP1	196	420	1344
STARD3NL	234	472	1634
CAMK1G	476	955	3329
CD9	228	444	1608
CD74	296	600	2064
RPS20	119	248	823
DYRK4	520	1010	3670
FAM76A	341	645	2424
MGST1	155	323	1072
CPA1	419	864	2907
SYPL1	259	544	1787
RANBP9	729	1532	5029
CD4	458	959	3163
PLEKHG6	790	1791	5319
SS18L2	77	148	545
TSPAN9	239	476	1675
CYP4F2	520	1063	3617
QPCTL	382	920	2518
HIVEP2	2446	4934	17080
PPP5C	499	974	3517
NME1	177	360	1233
UBR7	425	765	3060
MAP4K5	846	1653	5961
INMT	263	560	1807
ERCC1	323	703	2204
ABHD5	44	85	311
GPRC5A	357	763	2450
HEBP1	189	380	1321
DNASE1L1	302	668	2050
COX15	410	911	2779
MS4A12	267	567	1836
RGPD5	1765	3445	12440
XYLT2	865	1907	5878
FTSJ1	327	702	2241
SCTR	440	929	3031
RALBP1	655	1216	4679
PSD	1024	2353	6863
SYT13	426	932	2902
SNAI2	268	533	1879
VDAC3	283	572	1975
SLC7A9	487	1060	3323
GABRA1	456	929	3175
RTFDC1	336	640	2384
SLC45A4	798	1744	5438
RB1CC1	1594	2944	11402
AKAP11	1901	3644	13465
STRAP	363	722	2545
PIGQ	760	1769	5071
CDH17	832	1699	5789
RNASET2	71	147	492
B4GALT7	327	698	2245
SLC39A9	241	567	1602
FAM13B	915	1691	6544
RANBP3	499	1034	3457
CHPF2	772	1804	5144
LRRC7	1537	3033	10800
GABARAPL2	117	219	834
MYOC	504	1033	3503
FAM136A	138	249	993
NSMAF	917	1757	6496
OTC	354	713	2473
TTC17	1141	2232	8037
HOXC8	242	457	1721
MRI1	369	886	2435
BOD1L1	3051	5939	21520
TARBP1	1621	3379	11210
FAM65A	1219	2802	8169
BEST2	509	1115	3466
RTN4R	473	1144	3113
PSMA4	261	496	1853
FAM65C	946	2065	6449
SPATA7	458	891	3231
ZPBP	351	715	2444
CTNS	367	761	2542
LCP2	533	1071	3726
GOPC	454	926	3160
DCN	359	739	2492
TNFRSF17	184	365	1291
MRPS10	201	398	1411
